Rank,NetWorth($B),Age,Country,City,Industries,Self Made,Gender,Last Name,First Name,Birth Year,CPI Index,CPI Change,Country GDP,Country tertiary education enrollment,Country primary education enrollment,Country life expectancy,Population of country,Number of Billionaires,NumberOfBillionaires_x,NumberOfBillionaires_y
72,21.6,67,Russia,Moscow,Energy,True,M,Mikhelson,Leonid,1955,180.75,4.5,1699876578871,81.9%,102.6%,72.7,144373535,2476,79,79
74,21.2,36,United States,Chicago,Fashion & Retail,False,M,Walton,Lukas,1986,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
74,21.2,52,China,Shenzhen,Service,True,M,Wang,Wei,1970,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
76,21.1,60,United States,Los Altos,Technology,True,M,Huang,Jensen,1963,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
77,21.0,90,United States,New York,Fashion & Retail,False,M,Lauder,Leonard,1933,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
77,21.0,77,Japan,Osaka,Manufacturing,True,M,Takizaki,Takemitsu,1945,105.48,0.5,5081769542380,63.2%,98.8%,84.2,126226568,2476,38,38
79,20.9,57,Russia,Moscow,Metals & Mining,True,M,Mordashov,Alexey,1965,180.75,4.5,1699876578871,81.9%,102.6%,72.7,144373535,2476,79,79
80,20.5,72,Russia,Moscow,Energy,True,M,Alekperov,Vagit,1950,180.75,4.5,1699876578871,81.9%,102.6%,72.7,144373535,2476,79,79
81,20.2,84,United States,Nashville,Healthcare,True,M,Frist,Thomas,1938,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
82,19.6,61,Australia,Perth,Metals & Mining,True,M,Forrest,Andrew,1961,119.8,1.6,1392680589329,113.1%,100.3%,82.7,25766605,2476,43,43
83,19.1,73,United States,Greenwich,Finance & Investments,True,M,Dalio,Ray,1949,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
84,19.0,59,China,Hangzhou,Automotive,True,M,Li,Eric,1963,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
84,19.0,55,China,Shenzhen,Metals & Mining,True,M,Wang,Wenyin,1968,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
86,18.9,72,Monaco,Monte Carlo,Diversified,False,M,Ofer,Eyal,1950,0.0,0.0,7184844193,0.0%,0.0%,0.0,38964,2476,17,17
86,18.9,57,China,Nanyang,Food & Beverage,True,M,Qin,Yinglin,1965,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
88,18.7,57,China,Shenzhen,Automotive,True,M,Wang,Chuanfu,1966,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
89,18.5,77,United States,Oklahoma City,Energy,True,M,Hamm,Harold,1945,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
89,18.5,65,United States,Palm Beach,Finance & Investments,True,M,Tepper,David,1957,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
89,18.5,70,Russia,Moscow,Energy,True,M,Timchenko,Gennady,1952,180.75,4.5,1699876578871,81.9%,102.6%,72.7,144373535,2476,79,79
92,18.0,61,United States,Franklin,Finance & Investments,True,M,Gilbert,Daniel,1962,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
93,17.7,72,United Kingdom,London,Metals & Mining,False,M,Mittal,Lakshmi,1950,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
94,17.5,66,United States,Greenwich,Finance & Investments,True,M,Cohen,Steve,1956,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
94,17.5,87,United States,Indian Creek,Finance & Investments,True,M,Icahn,Carl,1936,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
94,17.5,73,India,Hisar,Metals & Mining,False,F,Jindal,Savitri,1950,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
97,17.4,90,United States,Newport Beach,Real Estate,True,M,Bren,Donald,1932,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
97,17.4,83,United States,Eau Claire,Fashion & Retail,True,M,Menard,John,1940,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
99,17.1,92,United States,New York,Media & Entertainment,False,M,Murdoch,Rupert,1931,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
100,16.7,70,Switzerland,Crans-Montana,Finance & Investments,False,F,Safra,Vicky,1953,99.55,0.4,703082435360,59.6%,105.2%,83.6,8574832,2476,78,78
101,16.5,72,Germany,Mulheim an der Ruhr,Fashion & Retail,False,M,Albrecht,Theo,1951,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
101,16.5,55,Czech Republic,Prague,Finance & Investments,False,F,Kellnerova,Renata,1967,116.48,2.8,246489245495,64.1%,100.7%,79.0,10669709,2476,7,7
103,16.3,72,China,Shenzhen,Healthcare,True,M,Li,Xiting,1951,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
104,16.2,75,Sweden,Stockholm,Fashion & Retail,False,M,Persson,Stefan,1947,110.51,1.8,530832908738,67.0%,126.6%,82.5,10285453,2476,26,26
104,16.2,67,United States,Atherton,Technology,True,M,Schmidt,Eric,1955,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
106,16.0,55,Switzerland,Geneva,Finance & Investments,True,M,Platt,Michael,1968,99.55,0.4,703082435360,59.6%,105.2%,83.6,8574832,2476,78,78
107,15.9,67,China,Foshan,Food & Beverage,True,M,Pang,Kang,1956,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
108,15.8,64,Germany,Unknown,Fashion & Retail,False,M,Albrecht Jr.,Karl,0,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
108,15.8,83,Switzerland,Zurich,Food & Beverage,True,M,Lemann,Jorge Paulo,1939,99.55,0.4,703082435360,59.6%,105.2%,83.6,8574832,2476,78,78
112,15.6,67,India,Mumbai,Healthcare,True,M,Shanghvi,Dilip,1955,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
113,15.5,45,United States,San Jose,Technology,True,M,Pera,Robert,1978,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
114,15.3,68,India,Mumbai,Fashion & Retail,True,M,Damani,Radhakishan,1955,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
115,15.2,56,China,Ningde,Automotive,True,M,Huang,Shilin,1967,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
116,14.9,83,Thailand,Bangkok,Diversified,False,M,Chearavanont,Dhanin,1939,113.27,0.7,543649976166,49.3%,99.8%,76.9,69625582,2476,28,28
116,14.9,81,United States,Oklahoma City,Fashion & Retail,True,M,Green,David,1941,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
118,14.8,78,Thailand,Bangkok,Food & Beverage,True,M,Sirivadhanabhakdi,Charoen,1944,113.27,0.7,543649976166,49.3%,99.8%,76.9,69625582,2476,28,28
119,14.7,68,United Kingdom,London,Food & Beverage,False,F,de Carvalho-Heineken,Charlene,1954,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
120,14.6,60,China,Shenzhen,Healthcare,True,M,Xu,Hang,1962,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
121,14.5,59,China,Baoding,Automotive,True,M,Wei,Jianjun,1964,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
122,14.4,69,Uzbekistan,Tashkent,Metals & Mining,True,M,Usmanov,Alisher,1953,0.0,0.0,57921286440,10.1%,104.2%,71.6,33580650,2476,1,1
123,14.3,95,Singapore,Singapore,Manufacturing,True,M,Goh,Cheng Liang,1927,114.41,0.6,372062527489,84.8%,100.6%,83.1,5703569,2476,46,46
124,14.2,55,India,Mumbai,Diversified,False,M,Birla,Kumar,1967,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
124,14.2,65,Nigeria,Lagos,Manufacturing,True,M,Dangote,Aliko,1957,267.51,11.4,448120428859,10.2%,84.7%,54.3,200963599,2476,3,3
127,14.0,67,United Kingdom,London,Diversified,False,M,Ofer,Idan,1955,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
128,13.9,57,China,Changsha,Healthcare,True,M,Chen,Bang,1965,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
130,13.7,78,United Kingdom,London,Logistics,True,M,Fredriksen,John,1945,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
130,13.7,76,United States,Afton,Construction & Engineering,True,F,Hendricks,Diane,1947,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
130,13.7,47,United States,Atherton,Technology,True,M,Koum,Jan,1976,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
133,13.3,80,United States,Dallas,Sports,True,M,Jones,Jerry,1942,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
133,13.3,80,United States,Tulsa,Energy,False,M,Kaiser,George,1942,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
136,13.2,60,China,Guangzhou,Automotive,True,M,Lu,Xiangyang,1962,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
137,13.1,90,Australia,Sydney,Real Estate,True,M,Triguboff,Harry,1933,119.8,1.6,1392680589329,113.1%,100.3%,82.7,25766605,2476,43,43
138,12.9,64,India,Mumbai,Finance & Investments,True,M,Kotak,Uday,1959,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
138,12.9,75,United States,Electra,Sports,True,M,Kroenke,Stanley,1947,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
140,12.6,58,United Kingdom,London,Energy,True,M,Fridman,Mikhail,1964,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
141,12.3,57,Thailand,Bangkok,Energy,True,M,Ratanavadi,Sarath,1965,113.27,0.7,543649976166,49.3%,99.8%,76.9,69625582,2476,28,28
142,12.2,50,China,Yinchuan,Metals & Mining,True,M,Dang,Yanbao,1973,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
142,12.2,69,China,Chongqing,Healthcare,True,M,Jiang,Rensheng,1953,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
144,12.1,72,United States,Naples,Automotive,True,M,Khan,Shahid,1950,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
145,12.0,59,United States,Palo Alto,Technology,False,F,Powell Jobs,Laurene,1963,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
147,11.6,82,United States,New York,Real Estate,True,M,Ross,Stephen,1940,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
148,11.5,38,United Arab Emirates,Dubai,Technology,True,M,Durov,Pavel,1984,114.52,-1.9,421142267938,36.8%,108.4%,77.8,9770529,2476,17,17
148,11.5,73,Germany,Tegernsee,Healthcare,True,M,Struengmann,Andreas,1950,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
148,11.5,73,Germany,Tegernsee,Healthcare,True,M,Struengmann,Thomas,1950,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
151,11.4,59,China,Chengdu,Food & Beverage,True,M,Liu,Hanyuan,1964,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
151,11.4,50,United States,Bryn Mawr,Fashion & Retail,True,M,Rubin,Michael,1972,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
153,11.3,74,United States,New York,Finance & Investments,True,M,Englander,Israel,1948,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
153,11.3,69,Israel,Herzliya,Manufacturing,True,M,Kantor,Viatcheslav,1953,108.15,0.8,395098666122,63.4%,104.9%,82.8,9053300,2476,26,26
153,11.3,62,Australia,Melbourne,Manufacturing,False,M,Pratt,Anthony,1960,119.8,1.6,1392680589329,113.1%,100.3%,82.7,25766605,2476,43,43
153,11.3,57,Switzerland,Frauenfeld,Finance & Investments,True,M,Prokhorov,Mikhail,1965,99.55,0.4,703082435360,59.6%,105.2%,83.6,8574832,2476,78,78
157,11.1,88,Italy,Milan,Fashion & Retail,True,M,Armani,Giorgio,1934,110.62,0.6,2001244392042,61.9%,101.9%,82.9,60297396,2476,55,55
157,11.1,72,South Africa,Cape Town,Fashion & Retail,False,M,Rupert,Johann,1950,158.93,4.1,351431649241,22.4%,100.9%,63.9,58558270,2476,5,5
159,11.0,51,China,Shenzhen,Technology,True,M,Zhang,Zhidong,1972,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
161,10.9,83,United States,Denver,Finance & Investments,False,M,Anschutz,Philip,1939,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
161,10.9,85,United States,Oklahoma City,Fashion & Retail,True,F,Love,Judy,1937,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
161,10.9,67,Mexico,Mexico City,Fashion & Retail,False,M,Salinas Pliego,Ricardo,1955,141.54,3.6,1258286717125,40.2%,105.8%,75.0,126014024,2476,13,13
164,10.7,93,United States,New York,Media & Entertainment,False,M,Newhouse,Donald,1929,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
165,10.6,81,United States,Brookline,Sports,True,M,Kraft,Robert,1941,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
165,10.6,73,Brazil,Sao Paulo,Food & Beverage,True,M,Telles,Marcel Herrmann,1950,167.4,3.7,1839758040766,51.3%,115.4%,75.7,212559417,2476,44,44
167,10.5,57,Russia,Moscow,Finance & Investments,True,M,Kerimov & family,Suleiman,1966,180.75,4.5,1699876578871,81.9%,102.6%,72.7,144373535,2476,79,79
167,10.5,39,China,Guangzhou,Fashion & Retail,True,M,Xu,Sky,1984,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
167,10.5,45,United Arab Emirates,Dubai,Finance & Investments,True,M,Zhao,Changpeng,1977,114.52,-1.9,421142267938,36.8%,108.4%,77.8,9770529,2476,17,17
170,10.3,70,United States,Dallas,Finance & Investments,True,M,Beal,Andrew,1952,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
171,10.2,43,Australia,Sydney,Technology,True,M,Cannon-Brookes,Mike,1979,119.8,1.6,1392680589329,113.1%,100.3%,82.7,25766605,2476,43,43
171,10.2,60,United States,Bloomington,Healthcare,False,M,Cook,Carl,1962,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
171,10.2,82,United States,Incline Village,Technology,True,M,Duffield,David,1940,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
171,10.2,64,United States,Houston,Energy,True,M,Hildebrand,Jeffery,1959,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
171,10.2,74,Russia,Magnitogorsk,Manufacturing,True,M,Rashnikov,Viktor,1948,180.75,4.5,1699876578871,81.9%,102.6%,72.7,144373535,2476,79,79
171,10.2,41,Singapore,Singapore,Technology,True,M,Saverin,Eduardo,1982,114.41,0.6,372062527489,84.8%,100.6%,83.1,5703569,2476,46,46
171,10.2,58,Germany,Herzogenaurach,Automotive,False,M,Schaeffler,Georg,1964,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
171,10.2,74,United States,Jackson,Fashion & Retail,False,F,Walton,Christy,1949,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
179,10.1,43,Australia,Sydney,Technology,True,M,Farquhar,Scott,1979,119.8,1.6,1392680589329,113.1%,100.3%,82.7,25766605,2476,43,43
179,10.1,81,Malaysia,Kuala Lumpur,Diversified,False,M,Quek,Leng Chan,1941,121.46,0.7,364701517788,45.1%,105.3%,76.0,32447385,2476,11,11
