,Rank,NetWorth($B),Age,Country,City,Industries,Self Made,Gender,Last Name,First Name,Birth Year,CPI Index,CPI Change,Country GDP,Country tertiary education enrollment,Country primary education enrollment,Country life expectancy,Population of country
12,13,77.3,87,Spain,La Coruna,Fashion & Retail,TRUE,M,Ortega,Amancio,1936,110.96,0.7,1.39412E+12,88.90%,102.70%,83.3,47076781
13,14,76,49,United States,Los Altos,Technology,TRUE,M,Brin,Sergey,1973,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
14,15,68,68,China,Hangzhou,Food & Beverage,TRUE,M,Zhong,Shanshan,1954,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
15,16,64.4,38,United States,Palo Alto,Technology,TRUE,M,Zuckerberg,Mark,1984,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
16,17,59,87,United States,Wichita,Diversified,FALSE,M,Koch,Charles,1935,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
17,17,59,60,United States,New York,Diversified,FALSE,F,Koch,Julia,1962,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
18,19,58.8,74,United States,Bentonville,Fashion & Retail,FALSE,M,Walton,Jim,1948,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
19,20,57.6,78,United States,Bentonville,Fashion & Retail,FALSE,M,Walton,Rob,1944,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
20,21,56.7,73,United States,Fort Worth,Fashion & Retail,FALSE,F,Walton,Alice,1949,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
21,22,54.4,65,Canada,Toronto,Media & Entertainment,FALSE,M,Thomson,David,1957,116.76,1.9,1.73643E+12,68.90%,100.90%,81.9,36991981
22,23,50.1,58,United States,Austin,Technology,TRUE,M,Dell,Michael,1965,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
23,24,47.2,60,India,Ahmedabad,Diversified,TRUE,M,Adani,Gautam,1962,180.44,7.7,2.611E+12,28.10%,113.00%,69.4,1366417754
24,25,45.1,85,United States,Hillsboro,Fashion & Retail,TRUE,M,Knight,Phil,1938,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
25,26,45,39,China,Beijing,Technology,TRUE,M,Zhang,Yiming,1984,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
26,27,42.9,83,Germany,Neckarsulm,Fashion & Retail,FALSE,M,Schwarz,Dieter,1939,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
27,28,40.1,86,France,Paris,Fashion & Retail,TRUE,M,Pinault,François,1936,110.05,1.1,2.71552E+12,65.60%,102.50%,82.5,67059887
28,29,39.1,85,Switzerland,Schindellegi,Logistics,FALSE,M,Kuehne,Klaus-Michael,1937,99.55,0.4,7.03082E+11,59.60%,105.20%,83.6,8574832
29,30,38.9,58,Belgium,Brussels,Food & Beverage,FALSE,M,Ferrero,Giovanni,1964,117.11,1.4,5.29607E+11,79.70%,103.90%,81.6,11484055
30,31,38.3,83,United States,The Plains,Food & Beverage,FALSE,F,Mars,Jacqueline,1939,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
31,31,38.3,87,United States,Jackson,Food & Beverage,FALSE,M,Mars,John,1935,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
33,34,35.3,51,China,Shenzhen,Technology,TRUE,M,Ma,Huateng,1971,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
34,35,35,77,United States,Las Vegas,Gambling & Casinos,FALSE,F,Adelson,Miriam,1945,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
35,35,35,54,United States,Miami,Finance & Investments,TRUE,M,Griffin,Ken,1968,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
36,37,34.7,30,Austria,Salzburg,Food & Beverage,FALSE,M,Mateschitz,Mark,1992,118.06,1.5,4.46315E+11,85.10%,103.10%,81.6,8877067
37,38,33.4,54,China,Ningde,Automotive,TRUE,M,Zeng,Robin,1969,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
38,39,32.6,74,Japan,Tokyo,Fashion & Retail,TRUE,M,Yanai,Tadashi,1949,105.48,0.5,5.08177E+12,63.20%,98.80%,84.2,126226568
39,40,32.1,65,United Kingdom,London,Diversified,TRUE,M,Blavatnik,Len,1957,119.62,1.7,2.82711E+12,60.00%,101.20%,81.3,66834405
40,41,31.6,74,United States,New York,Fashion & Retail,FALSE,M,Wertheimer,Alain,1948,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
41,41,31.6,72,United States,New York,Fashion & Retail,FALSE,M,Wertheimer,Gerard,1951,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
42,43,31.2,82,Switzerland,Geneva,Logistics,TRUE,M,Aponte,Gianluigi,1940,99.55,0.4,7.03082E+11,59.60%,105.20%,83.6,8574832
43,43,31.2,78,Switzerland,Geneva,Logistics,TRUE,F,Aponte-Diamant,Rafaela,1945,99.55,0.4,7.03082E+11,59.60%,105.20%,83.6,8574832
44,45,30.2,43,China,Shanghai,Technology,TRUE,M,Huang,Colin Zheng,1980,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
45,46,29.7,87,Germany,Kuenzelsau,Manufacturing,TRUE,M,Wuerth,Reinhold,1935,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
47,48,28.5,64,United States,Haverford,Finance & Investments,TRUE,M,Yass,Jeff,1958,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
48,49,28.1,84,United States,East Setauket,Finance & Investments,TRUE,M,Simons,Jim,1938,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
49,50,27.8,76,United States,New York,Finance & Investments,TRUE,M,Schwarzman,Stephen,1947,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
50,51,27.4,60,Germany,Bad Homburg,Automotive,FALSE,F,Klatten,Susanne,1962,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
51,52,27,69,Australia,Perth,Metals & Mining,FALSE,F,Rinehart,Gina,1954,119.8,1.6,1.39268E+12,113.10%,100.30%,82.7,25766605
52,53,26.7,51,China,Hangzhou,Technology,TRUE,M,Ding,William,1971,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
53,54,26.6,69,Mexico,Mexico City,Metals & Mining,FALSE,M,Larrea Mota Velasco,Germán,1953,141.54,3.6,1.25829E+12,40.20%,105.80%,75,126014024
54,55,25.6,77,India,Delhi,Technology,TRUE,M,Nadar,Shiv,1945,180.44,7.7,2.611E+12,28.10%,113.00%,69.4,1366417754
55,56,25.5,74,Indonesia,Jakarta,Energy,TRUE,M,Low Tuck,Kwong,1948,151.18,3,1.11919E+12,36.30%,106.40%,71.5,270203917
56,57,25.3,78,United States,Palm Beach,Finance & Investments,TRUE,M,Peterffy,Thomas,1944,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
57,58,25.2,51,United Arab Emirates,Ras Al Khaimah,Metals & Mining,TRUE,M,Melnichenko,Andrey,1972,114.52,-1.9,4.21142E+11,36.80%,108.40%,77.8,9770529
58,59,24.6,56,Germany,Frankfurt,Automotive,FALSE,M,Quandt,Stefan,1966,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
59,60,24.4,52,United States,Seattle,Technology,FALSE,F,Scott,MacKenzie,1970,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
60,61,24.2,82,Indonesia,Kudus,Finance & Investments,FALSE,M,Hartono,R. Budi,1941,151.18,3,1.11919E+12,36.30%,106.40%,71.5,270203917
61,62,23.7,62,Russia,Moscow,Metals & Mining,TRUE,M,Potanin,Vladimir,1961,180.75,4.5,1.69988E+12,81.90%,102.60%,72.7,144373535
62,63,23.5,58,China,Hangzhou,Technology,TRUE,M,Ma,Jack,1964,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
63,64,23.4,80,China,Foshan,Manufacturing,TRUE,M,He,Xiangjian,1942,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
64,65,23.1,80,Chile,Santiago,Metals & Mining,FALSE,F,Fontbona,Iris,1943,131.91,2.6,2.82318E+11,88.50%,101.40%,80,18952038
65,65,23.1,83,Indonesia,Kudus,Manufacturing,FALSE,M,Hartono,Michael,1939,151.18,3,1.11919E+12,36.30%,106.40%,71.5,270203917
66,67,22.9,70,United Kingdom,London,Manufacturing,TRUE,M,Ratcliffe,James,1953,119.62,1.7,2.82711E+12,60.00%,101.20%,81.3,66834405
67,68,22.6,81,India,Pune,Healthcare,FALSE,M,Poonawalla,Cyrus,1941,180.44,7.7,2.611E+12,28.10%,113.00%,69.4,1366417754
68,69,22.4,65,Japan,Tokyo,Telecom,TRUE,M,Son,Masayoshi,1957,105.48,0.5,5.08177E+12,63.20%,98.80%,84.2,126226568
69,70,22.1,66,Russia,Moscow,Metals & Mining,TRUE,M,Lisin,Vladimir,1956,180.75,4.5,1.69988E+12,81.90%,102.60%,72.7,144373535
70,71,22,52,France,Laval,Food & Beverage,FALSE,M,Besnier,Emmanuel,1970,110.05,1.1,2.71552E+12,65.60%,102.50%,82.5,67059887
71,72,21.6,61,United States,Milton,Finance & Investments,FALSE,F,Johnson,Abigail,1961,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
72,72,21.6,67,Russia,Moscow,Energy,TRUE,M,Mikhelson,Leonid,1955,180.75,4.5,1.69988E+12,81.90%,102.60%,72.7,144373535
73,74,21.2,36,United States,Chicago,Fashion & Retail,FALSE,M,Walton,Lukas,1986,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
74,74,21.2,52,China,Shenzhen,Service,TRUE,M,Wang,Wei,1970,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
75,76,21.1,60,United States,Los Altos,Technology,TRUE,M,Huang,Jensen,1963,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
76,77,21,90,United States,New York,Fashion & Retail,FALSE,M,Lauder,Leonard,1933,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
77,77,21,77,Japan,Osaka,Manufacturing,TRUE,M,Takizaki,Takemitsu,1945,105.48,0.5,5.08177E+12,63.20%,98.80%,84.2,126226568
78,79,20.9,57,Russia,Moscow,Metals & Mining,TRUE,M,Mordashov,Alexey,1965,180.75,4.5,1.69988E+12,81.90%,102.60%,72.7,144373535
79,80,20.5,72,Russia,Moscow,Energy,TRUE,M,Alekperov,Vagit,1950,180.75,4.5,1.69988E+12,81.90%,102.60%,72.7,144373535
80,81,20.2,84,United States,Nashville,Healthcare,TRUE,M,Frist,Thomas,1938,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
81,82,19.6,61,Australia,Perth,Metals & Mining,TRUE,M,Forrest,Andrew,1961,119.8,1.6,1.39268E+12,113.10%,100.30%,82.7,25766605
82,83,19.1,73,United States,Greenwich,Finance & Investments,TRUE,M,Dalio,Ray,1949,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
83,84,19,59,China,Hangzhou,Automotive,TRUE,M,Li,Eric,1963,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
84,84,19,55,China,Shenzhen,Metals & Mining,TRUE,M,Wang,Wenyin,1968,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
85,86,18.9,72,Monaco,Monte Carlo,Diversified,FALSE,M,Ofer,Eyal,1950,0,0,7184844193,0.00%,0.00%,0,38964
86,86,18.9,57,China,Nanyang,Food & Beverage,TRUE,M,Qin,Yinglin,1965,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
87,88,18.7,57,China,Shenzhen,Automotive,TRUE,M,Wang,Chuanfu,1966,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
88,89,18.5,77,United States,Oklahoma City,Energy,TRUE,M,Hamm,Harold,1945,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
89,89,18.5,65,United States,Palm Beach,Finance & Investments,TRUE,M,Tepper,David,1957,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
90,89,18.5,70,Russia,Moscow,Energy,TRUE,M,Timchenko,Gennady,1952,180.75,4.5,1.69988E+12,81.90%,102.60%,72.7,144373535
91,92,18,61,United States,Franklin,Finance & Investments,TRUE,M,Gilbert,Daniel,1962,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
92,93,17.7,72,United Kingdom,London,Metals & Mining,FALSE,M,Mittal,Lakshmi,1950,119.62,1.7,2.82711E+12,60.00%,101.20%,81.3,66834405
93,94,17.5,66,United States,Greenwich,Finance & Investments,TRUE,M,Cohen,Steve,1956,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
94,94,17.5,87,United States,Indian Creek,Finance & Investments,TRUE,M,Icahn,Carl,1936,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
95,94,17.5,73,India,Hisar,Metals & Mining,FALSE,F,Jindal,Savitri,1950,180.44,7.7,2.611E+12,28.10%,113.00%,69.4,1366417754
96,97,17.4,90,United States,Newport Beach,Real Estate,TRUE,M,Bren,Donald,1932,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
97,97,17.4,83,United States,Eau Claire,Fashion & Retail,TRUE,M,Menard,John,1940,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
98,99,17.1,92,United States,New York,Media & Entertainment,FALSE,M,Murdoch,Rupert,1931,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
99,100,16.7,70,Switzerland,Crans-Montana,Finance & Investments,FALSE,F,Safra,Vicky,1953,99.55,0.4,7.03082E+11,59.60%,105.20%,83.6,8574832
100,101,16.5,72,Germany,Mulheim an der Ruhr,Fashion & Retail,FALSE,M,Albrecht,Theo,1951,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
101,101,16.5,55,Czech Republic,Prague,Finance & Investments,FALSE,F,Kellnerova,Renata,1967,116.48,2.8,2.46489E+11,64.10%,100.70%,79,10669709
102,103,16.3,72,China,Shenzhen,Healthcare,TRUE,M,Li,Xiting,1951,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
103,104,16.2,75,Sweden,Stockholm,Fashion & Retail,FALSE,M,Persson,Stefan,1947,110.51,1.8,5.30833E+11,67.00%,126.60%,82.5,10285453
104,104,16.2,67,United States,Atherton,Technology,TRUE,M,Schmidt,Eric,1955,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
105,106,16,55,Switzerland,Geneva,Finance & Investments,TRUE,M,Platt,Michael,1968,99.55,0.4,7.03082E+11,59.60%,105.20%,83.6,8574832
106,107,15.9,67,China,Foshan,Food & Beverage,TRUE,M,Pang,Kang,1956,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
107,108,15.8,64,Germany,Unknown,Fashion & Retail,FALSE,M,Albrecht Jr.,Karl,0,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
109,108,15.8,83,Switzerland,Zurich,Food & Beverage,TRUE,M,Lemann,Jorge Paulo,1939,99.55,0.4,7.03082E+11,59.60%,105.20%,83.6,8574832
111,112,15.6,67,India,Mumbai,Healthcare,TRUE,M,Shanghvi,Dilip,1955,180.44,7.7,2.611E+12,28.10%,113.00%,69.4,1366417754
112,113,15.5,45,United States,San Jose,Technology,TRUE,M,Pera,Robert,1978,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
113,114,15.3,68,India,Mumbai,Fashion & Retail,TRUE,M,Damani,Radhakishan,1955,180.44,7.7,2.611E+12,28.10%,113.00%,69.4,1366417754
114,115,15.2,56,China,Ningde,Automotive,TRUE,M,Huang,Shilin,1967,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
115,116,14.9,83,Thailand,Bangkok,Diversified,FALSE,M,Chearavanont,Dhanin,1939,113.27,0.7,5.4365E+11,49.30%,99.80%,76.9,69625582
116,116,14.9,81,United States,Oklahoma City,Fashion & Retail,TRUE,M,Green,David,1941,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
117,118,14.8,78,Thailand,Bangkok,Food & Beverage,TRUE,M,Sirivadhanabhakdi,Charoen,1944,113.27,0.7,5.4365E+11,49.30%,99.80%,76.9,69625582
118,119,14.7,68,United Kingdom,London,Food & Beverage,FALSE,F,de Carvalho-Heineken,Charlene,1954,119.62,1.7,2.82711E+12,60.00%,101.20%,81.3,66834405
119,120,14.6,60,China,Shenzhen,Healthcare,TRUE,M,Xu,Hang,1962,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
120,121,14.5,59,China,Baoding,Automotive,TRUE,M,Wei,Jianjun,1964,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
121,122,14.4,69,Uzbekistan,Tashkent,Metals & Mining,TRUE,M,Usmanov,Alisher,1953,0,0,57921286440,10.10%,104.20%,71.6,33580650
122,123,14.3,95,Singapore,Singapore,Manufacturing,TRUE,M,Goh,Cheng Liang,1927,114.41,0.6,3.72063E+11,84.80%,100.60%,83.1,5703569
123,124,14.2,55,India,Mumbai,Diversified,FALSE,M,Birla,Kumar,1967,180.44,7.7,2.611E+12,28.10%,113.00%,69.4,1366417754
124,124,14.2,65,Nigeria,Lagos,Manufacturing,TRUE,M,Dangote,Aliko,1957,267.51,11.4,4.4812E+11,10.20%,84.70%,54.3,200963599
126,127,14,67,United Kingdom,London,Diversified,FALSE,M,Ofer,Idan,1955,119.62,1.7,2.82711E+12,60.00%,101.20%,81.3,66834405
127,128,13.9,57,China,Changsha,Healthcare,TRUE,M,Chen,Bang,1965,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
129,130,13.7,78,United Kingdom,London,Logistics,TRUE,M,Fredriksen,John,1945,119.62,1.7,2.82711E+12,60.00%,101.20%,81.3,66834405
130,130,13.7,76,United States,Afton,Construction & Engineering,TRUE,F,Hendricks,Diane,1947,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
131,130,13.7,47,United States,Atherton,Technology,TRUE,M,Koum,Jan,1976,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
132,133,13.3,80,United States,Dallas,Sports,TRUE,M,Jones,Jerry,1942,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
133,133,13.3,80,United States,Tulsa,Energy,FALSE,M,Kaiser,George,1942,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
135,136,13.2,60,China,Guangzhou,Automotive,TRUE,M,Lu,Xiangyang,1962,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
136,137,13.1,90,Australia,Sydney,Real Estate,TRUE,M,Triguboff,Harry,1933,119.8,1.6,1.39268E+12,113.10%,100.30%,82.7,25766605
137,138,12.9,64,India,Mumbai,Finance & Investments,TRUE,M,Kotak,Uday,1959,180.44,7.7,2.611E+12,28.10%,113.00%,69.4,1366417754
138,138,12.9,75,United States,Electra,Sports,TRUE,M,Kroenke,Stanley,1947,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
139,140,12.6,58,United Kingdom,London,Energy,TRUE,M,Fridman,Mikhail,1964,119.62,1.7,2.82711E+12,60.00%,101.20%,81.3,66834405
140,141,12.3,57,Thailand,Bangkok,Energy,TRUE,M,Ratanavadi,Sarath,1965,113.27,0.7,5.4365E+11,49.30%,99.80%,76.9,69625582
141,142,12.2,50,China,Yinchuan,Metals & Mining,TRUE,M,Dang,Yanbao,1973,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
142,142,12.2,69,China,Chongqing,Healthcare,TRUE,M,Jiang,Rensheng,1953,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
143,144,12.1,72,United States,Naples,Automotive,TRUE,M,Khan,Shahid,1950,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
144,145,12,59,United States,Palo Alto,Technology,FALSE,F,Powell Jobs,Laurene,1963,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
146,147,11.6,82,United States,New York,Real Estate,TRUE,M,Ross,Stephen,1940,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
147,148,11.5,38,United Arab Emirates,Dubai,Technology,TRUE,M,Durov,Pavel,1984,114.52,-1.9,4.21142E+11,36.80%,108.40%,77.8,9770529
148,148,11.5,73,Germany,Tegernsee,Healthcare,TRUE,M,Struengmann,Andreas,1950,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
149,148,11.5,73,Germany,Tegernsee,Healthcare,TRUE,M,Struengmann,Thomas,1950,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
150,151,11.4,59,China,Chengdu,Food & Beverage,TRUE,M,Liu,Hanyuan,1964,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
151,151,11.4,50,United States,Bryn Mawr,Fashion & Retail,TRUE,M,Rubin,Michael,1972,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
152,153,11.3,74,United States,New York,Finance & Investments,TRUE,M,Englander,Israel,1948,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
153,153,11.3,69,Israel,Herzliya,Manufacturing,TRUE,M,Kantor,Viatcheslav,1953,108.15,0.8,3.95099E+11,63.40%,104.90%,82.8,9053300
154,153,11.3,62,Australia,Melbourne,Manufacturing,FALSE,M,Pratt,Anthony,1960,119.8,1.6,1.39268E+12,113.10%,100.30%,82.7,25766605
155,153,11.3,57,Switzerland,Frauenfeld,Finance & Investments,TRUE,M,Prokhorov,Mikhail,1965,99.55,0.4,7.03082E+11,59.60%,105.20%,83.6,8574832
156,157,11.1,88,Italy,Milan,Fashion & Retail,TRUE,M,Armani,Giorgio,1934,110.62,0.6,2.00124E+12,61.90%,101.90%,82.9,60297396
157,157,11.1,72,South Africa,Cape Town,Fashion & Retail,FALSE,M,Rupert,Johann,1950,158.93,4.1,3.51432E+11,22.40%,100.90%,63.9,58558270
159,159,11,51,China,Shenzhen,Technology,TRUE,M,Zhang,Zhidong,1972,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
160,161,10.9,83,United States,Denver,Finance & Investments,FALSE,M,Anschutz,Philip,1939,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
161,161,10.9,85,United States,Oklahoma City,Fashion & Retail,TRUE,F,Love,Judy,1937,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
162,161,10.9,67,Mexico,Mexico City,Fashion & Retail,FALSE,M,Salinas Pliego,Ricardo,1955,141.54,3.6,1.25829E+12,40.20%,105.80%,75,126014024
163,164,10.7,93,United States,New York,Media & Entertainment,FALSE,M,Newhouse,Donald,1929,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
164,165,10.6,81,United States,Brookline,Sports,TRUE,M,Kraft,Robert,1941,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
165,165,10.6,73,Brazil,Sao Paulo,Food & Beverage,TRUE,M,Telles,Marcel Herrmann,1950,167.4,3.7,1.83976E+12,51.30%,115.40%,75.7,212559417
166,167,10.5,57,Russia,Moscow,Finance & Investments,TRUE,M,Kerimov & family,Suleiman,1966,180.75,4.5,1.69988E+12,81.90%,102.60%,72.7,144373535
167,167,10.5,39,China,Guangzhou,Fashion & Retail,TRUE,M,Xu,Sky,1984,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
168,167,10.5,45,United Arab Emirates,Dubai,Finance & Investments,TRUE,M,Zhao,Changpeng,1977,114.52,-1.9,4.21142E+11,36.80%,108.40%,77.8,9770529
169,170,10.3,70,United States,Dallas,Finance & Investments,TRUE,M,Beal,Andrew,1952,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
170,171,10.2,43,Australia,Sydney,Technology,TRUE,M,Cannon-Brookes,Mike,1979,119.8,1.6,1.39268E+12,113.10%,100.30%,82.7,25766605
171,171,10.2,60,United States,Bloomington,Healthcare,FALSE,M,Cook,Carl,1962,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
172,171,10.2,82,United States,Incline Village,Technology,TRUE,M,Duffield,David,1940,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
173,171,10.2,64,United States,Houston,Energy,TRUE,M,Hildebrand,Jeffery,1959,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
174,171,10.2,74,Russia,Magnitogorsk,Manufacturing,TRUE,M,Rashnikov,Viktor,1948,180.75,4.5,1.69988E+12,81.90%,102.60%,72.7,144373535
175,171,10.2,41,Singapore,Singapore,Technology,TRUE,M,Saverin,Eduardo,1982,114.41,0.6,3.72063E+11,84.80%,100.60%,83.1,5703569
176,171,10.2,58,Germany,Herzogenaurach,Automotive,FALSE,M,Schaeffler,Georg,1964,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
177,171,10.2,74,United States,Jackson,Fashion & Retail,FALSE,F,Walton,Christy,1949,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
178,179,10.1,43,Australia,Sydney,Technology,TRUE,M,Farquhar,Scott,1979,119.8,1.6,1.39268E+12,113.10%,100.30%,82.7,25766605
179,179,10.1,81,Malaysia,Kuala Lumpur,Diversified,FALSE,M,Quek,Leng Chan,1941,121.46,0.7,3.64702E+11,45.10%,105.30%,76,32447385
180,179,10.1,59,China,Beijing,Real Estate,TRUE,F,Wu,Yajun,1964,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
181,182,10,85,United States,Midland,Energy,TRUE,M,Stephens,Autry,1938,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
182,183,9.9,74,China,Shanghai,Service,TRUE,M,Liu,Yongxing,1948,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
